first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,profile_url,dob
Bruna,Brasil,,"5' 6""",115 lbs.,"65.0""",Orthodox,10,5,1,,http://ufcstats.com/fighter-details/7138a15258dabf20,"Sep 07, 1993"
Michael,Bravo,,--,155 lbs.,--,,7,4,0,,http://ufcstats.com/fighter-details/dc63542668295c23,
Martin,Bravo,El Toro,"5' 8""",145 lbs.,"71.0""",Southpaw,11,3,0,,http://ufcstats.com/fighter-details/9c44f290f5726d95,"Sep 21, 1993"
Roman,Bravo-Young,,--,205 lbs.,--,,0,1,0,,http://ufcstats.com/fighter-details/37ce890a4670b287,
Mike,Breeden,Money,"5' 10""",155 lbs.,"70.0""",Orthodox,11,6,0,,http://ufcstats.com/fighter-details/d80ee110748171ac,"Apr 21, 1989"
Tom,Breese,,"6' 3""",185 lbs.,"73.0""",Southpaw,12,3,0,,http://ufcstats.com/fighter-details/1588b787bda7b540,"Sep 26, 1991"
Elves,Brener,,"5' 10""",155 lbs.,"72.0""",Orthodox,16,5,0,,http://ufcstats.com/fighter-details/48a9a128784d53d1,"Sep 27, 1997"
Chris,Brennan,The Westside Strangler,"5' 8""",170 lbs.,--,Orthodox,21,13,1,,http://ufcstats.com/fighter-details/b19fc66613dc75b9,"Oct 12, 1971"
Charlie,Brenneman,The Spaniard,"5' 10""",155 lbs.,"70.0""",Orthodox,19,8,0,,http://ufcstats.com/fighter-details/98f6da59d765ec94,"Feb 09, 1981"
Robert,Breslin,The Bullet,"5' 11""",155 lbs.,--,,3,9,0,,http://ufcstats.com/fighter-details/e319d6697d41f3cf,
Mack,Brewer,,--,205 lbs.,--,,0,1,0,,http://ufcstats.com/fighter-details/106a925d947a0de9,
Marcos,Brigagao,Ironside,"6' 3""",205 lbs.,"76.0""",Southpaw,11,1,0,,http://ufcstats.com/fighter-details/11547e29f253fb89,"Apr 01, 1996"
Jason,Brilz,Hitman,"5' 11""",205 lbs.,"71.0""",Orthodox,22,6,1,,http://ufcstats.com/fighter-details/497ba5b12a4bfc47,"Jul 07, 1975"
Marcus,Brimage,The Bama Beast,"5' 4""",135 lbs.,"71.0""",Southpaw,7,7,0,,http://ufcstats.com/fighter-details/81801f57bd0a7c41,"Apr 06, 1985"
Aaron,Brink,,"6' 3""",205 lbs.,--,Orthodox,26,26,0,,http://ufcstats.com/fighter-details/cf1a88371c8cb690,"Nov 12, 1974"
Henry,Briones,Bure,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,1,,http://ufcstats.com/fighter-details/01fcef7e3d051722,"Oct 22, 1980"
Marcelo,Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,13,8,0,,http://ufcstats.com/fighter-details/3a97fda0de6f1fa4,"Nov 27, 1977"
Joanderson,Brito,Tubarao,"5' 8""",145 lbs.,"72.0""",Orthodox,17,5,1,,http://ufcstats.com/fighter-details/791c8437b341fba5,"Feb 11, 1995"
Kaik,Brito,,"5' 11""",170 lbs.,"72.0""",Orthodox,16,5,0,,http://ufcstats.com/fighter-details/b07f14fc0e53f8bd,"Mar 26, 1997"
Icaro,Brito,,--,145 lbs.,--,,7,1,0,,http://ufcstats.com/fighter-details/06dd61c8d545c63f,"Mar 09, 1999"
Antwain,Britt,The Juggernaut,"6' 1""",205 lbs.,"77.0""",,11,6,0,,http://ufcstats.com/fighter-details/2833f50b20e96e52,"May 09, 1978"
Drew,Brokenshire,,--,--,--,,16,6,0,,http://ufcstats.com/fighter-details/aa571d75f80fde7d,
Mike,Bronzoulis,The Greek,"6' 0""",155 lbs.,--,,18,9,1,,http://ufcstats.com/fighter-details/df3c39573d01f55b,"Jan 05, 1979"
Jonathan,Brookins,,"6' 0""",145 lbs.,"74.0""",Southpaw,16,10,0,,http://ufcstats.com/fighter-details/b0a6124751a56bc4,"Aug 13, 1985"
Will,Brooks,Ill,"5' 10""",155 lbs.,"72.0""",Orthodox,18,4,0,,http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1,"Oct 08, 1986"
Jarred,Brooks,The Monkey God,"5' 3""",125 lbs.,"62.0""",Switch,13,2,0,,http://ufcstats.com/fighter-details/81d9df19e255b8b6,"May 02, 1993"
Rob,Broughton,The Bear,"6' 2""",265 lbs.,"74.0""",Orthodox,16,7,1,,http://ufcstats.com/fighter-details/a7d687e6ecb30981,"Mar 03, 1983"
Lee,Brousseau,Manimal,"6' 1""",205 lbs.,--,,5,3,0,,http://ufcstats.com/fighter-details/0974d8d4053a7237,"Oct 04, 1974"
Matt,Brown,The Immortal,"6' 0""",170 lbs.,"75.0""",Orthodox,26,19,0,,http://ufcstats.com/fighter-details/31123249b0bbf52e,"Jan 10, 1981"
Mike,Brown,,"5' 6""",145 lbs.,"70.0""",Orthodox,26,9,0,,http://ufcstats.com/fighter-details/e0b74df14f52cd15,"Sep 08, 1975"
Dominic,Brown,,"5' 11""",190 lbs.,--,,16,23,0,,http://ufcstats.com/fighter-details/52b3ec072ad497a4,"Jun 04, 1982"
Todd,Brown,Bulldog,"5' 11""",205 lbs.,--,Orthodox,16,4,0,,http://ufcstats.com/fighter-details/9b68bf67c5695185,"Dec 13, 1976"
Terrell,Brown,,--,185 lbs.,--,,3,1,0,,http://ufcstats.com/fighter-details/85df85a4e276c90e,"Apr 13, 1983"
Chris,Brown,,--,170 lbs.,--,,10,1,0,,http://ufcstats.com/fighter-details/9e2624ac992660c6,
Frederick,Brown,,"6' 0""",235 lbs.,--,,3,2,0,,http://ufcstats.com/fighter-details/880c6b788266a3ef,
Randy,Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,20,6,0,,http://ufcstats.com/fighter-details/c6aee362c7a7d482,"Jul 08, 1990"
Damien,Brown,Beatdown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,0,,http://ufcstats.com/fighter-details/d024ed963e8bf7ea,"Dec 25, 1984"
TJ,Brown,Downtown,"5' 9""",145 lbs.,"72.0""",Switch,17,11,0,,http://ufcstats.com/fighter-details/d31cbcdd7d69536d,"May 22, 1990"
Humberto,Brown Morrison,,"5' 10""",145 lbs.,--,,4,6,0,,http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b,"Nov 03, 1984"
Travis,Browne,Hapa,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,1,,http://ufcstats.com/fighter-details/3236bf606fe9fa5b,"Jul 17, 1982"
Junie,Browning,,"5' 9""",155 lbs.,--,Orthodox,5,6,0,,http://ufcstats.com/fighter-details/d74cba8566291bfa,"May 12, 1984"
Jules,Bruchez,,"6' 0""",205 lbs.,--,Southpaw,1,2,0,,http://ufcstats.com/fighter-details/d1dcd4e96464a53d,"Aug 16, 1977"
Justin,Bruckmann,Loaf,"5' 9""",170 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/5f8e00c27b7e7410,
Cody,Brundage,,"6' 0""",185 lbs.,"72.0""",Orthodox,11,6,1,,http://ufcstats.com/fighter-details/f14f644d41ade29f,"May 16, 1994"
Steve,Bruno,Hollywood,"5' 10""",170 lbs.,--,Orthodox,15,6,0,,http://ufcstats.com/fighter-details/2f3f12002564bb55,"Nov 03, 1981"
Fernando,Bruno,Acougueiro,"5' 6""",145 lbs.,--,,15,4,0,,http://ufcstats.com/fighter-details/b8c0f30ee9a98b69,"Feb 24, 1982"
Derek,Brunson,The One,"6' 1""",185 lbs.,"77.0""",Southpaw,23,9,0,,http://ufcstats.com/fighter-details/b1a3e0aca758b322,"Jan 04, 1984"
Josh,Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,15,4,0,,http://ufcstats.com/fighter-details/01f022fa494188e2,"Apr 23, 1980"
Dennis,Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,5,2,0,,http://ufcstats.com/fighter-details/3b17353b8002c7d0,"Oct 18, 1985"
Robert,Bryczek,,"6' 0""",185 lbs.,"75.0""",Orthodox,17,6,0,,http://ufcstats.com/fighter-details/f96856f9d69fd7e4,"Jul 04, 1990"
Lukasz,Brzeski,The Bull,"6' 3""",236 lbs.,"78.0""",Orthodox,9,7,1,,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19,"May 17, 1992"
Marcus,Buchecha,,"5' 4""",255 lbs.,"77.0""",Orthodox,5,1,0,,http://ufcstats.com/fighter-details/095854a135e6db55,"Jan 08, 1990"
Justin,Buchholz,,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,0,,http://ufcstats.com/fighter-details/231926533134ec1f,"Aug 22, 1983"
Zak,Bucia,,"5' 10""",170 lbs.,--,,17,8,0,,http://ufcstats.com/fighter-details/6bbb8dc6e128779e,
Courtney,Buck,,"5' 10""",135 lbs.,--,Orthodox,12,11,0,,http://ufcstats.com/fighter-details/3feed7d02711d8b7,"Mar 19, 1982"
Joaquin,Buckley,New Mansa,"5' 10""",170 lbs.,"76.0""",Southpaw,21,7,0,,http://ufcstats.com/fighter-details/b9437600497350f3,"Apr 27, 1994"
Martin,Buday,Badys,"6' 4""",265 lbs.,"77.0""",Orthodox,15,2,0,,http://ufcstats.com/fighter-details/8eb046f83e82bf26,"Nov 11, 1991"
Julia,Budd,,"5' 7""",145 lbs.,"67.0""",,10,2,0,,http://ufcstats.com/fighter-details/dcdc4503b9d49977,"Jul 04, 1983"
Dylan,Budka,The Mindless Hulk,"6' 0""",185 lbs.,"75.0""",Switch,7,5,0,,http://ufcstats.com/fighter-details/a817e238b2747404,"Jan 14, 2000"
Mike,Budnik,,"5' 9""",145 lbs.,"68.0""",Orthodox,13,4,0,,http://ufcstats.com/fighter-details/b98209144b63ae26,"Aug 08, 1974"
Francisco,Bueno,,"5' 9""",225 lbs.,--,Orthodox,5,2,0,,http://ufcstats.com/fighter-details/a72d260b436924c4,
Mayra,Bueno Silva,Sheetara,"5' 6""",125 lbs.,"66.0""",Orthodox,10,5,1,,http://ufcstats.com/fighter-details/cc8c623cca88f54f,"Aug 22, 1991"
Paul,Buentello,The Headhunter,"6' 2""",245 lbs.,"77.0""",Orthodox,35,17,0,,http://ufcstats.com/fighter-details/f0abbb6f3444dae7,"Jan 16, 1974"
Modestas,Bukauskas,The Baltic Gladiator,"6' 3""",205 lbs.,"78.0""",Switch,18,6,0,,http://ufcstats.com/fighter-details/476fe566d2df676e,"Feb 10, 1994"
Lee Kwan,Bum,,"6' 2""",286 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/c0342805a1948cbb,
Josh,Bumgarner,,"6' 1""",170 lbs.,--,,6,4,0,,http://ufcstats.com/fighter-details/9900ab86a4c458bd,
Shawn,Bunch,Bunch the Great,"5' 5""",135 lbs.,--,,7,3,0,,http://ufcstats.com/fighter-details/6e9af164ab91a229,"Mar 19, 1983"
Felipe,Bunes,Felipinho,"5' 7""",125 lbs.,"69.0""",Orthodox,14,7,0,,http://ufcstats.com/fighter-details/53c10176e3bc7416,"Oct 29, 1989"
Shane,Burgos,Hurricane,"5' 11""",145 lbs.,"75.0""",Orthodox,15,3,0,,http://ufcstats.com/fighter-details/98d961097baaf308,"Mar 19, 1991"
Joshua,Burkman,The People's Warrior,"5' 10""",170 lbs.,"72.0""",Orthodox,28,16,0,,http://ufcstats.com/fighter-details/6da99156486ed6c2,"Apr 10, 1980"
Justin,Burlinson,,"6' 1""",170 lbs.,"74.0""",Switch,6,1,0,,http://ufcstats.com/fighter-details/dadd80ef954e54ed,"May 19, 1997"
Mads,Burnell,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/69f01b25dfabaf6b,"Mar 06, 1994"
Mikey,Burnett,The Eastside Assassin,"5' 6""",170 lbs.,--,Orthodox,5,2,0,,http://ufcstats.com/fighter-details/4c805f5f58a75df0,"Apr 12, 1974"
Kevin,Burns,The Fire,"5' 10""",170 lbs.,"74.0""",Orthodox,12,7,0,,http://ufcstats.com/fighter-details/a6d8bfe9e0c8153b,"Mar 03, 1980"
Gilbert,Burns,Durinho,"5' 10""",170 lbs.,"71.0""",Orthodox,22,9,0,,http://ufcstats.com/fighter-details/23024fdfc966410a,"Jul 20, 1986"
Josh,Burns,The Hammer,"6' 1""",244 lbs.,--,,8,10,0,,http://ufcstats.com/fighter-details/1e092415a7eeaf65,"May 15, 1978"
Herbert,Burns,The Blaze,"5' 9""",145 lbs.,"73.0""",Orthodox,11,6,0,,http://ufcstats.com/fighter-details/4f140403000158b5,"Feb 02, 1988"
Derrick,Burnsed,,--,155 lbs.,--,,1,0,3,,http://ufcstats.com/fighter-details/2213330f082f82d5,
Nah-Shon,Burrell,The Rock n Rolla,"5' 11""",170 lbs.,--,Orthodox,15,7,0,,http://ufcstats.com/fighter-details/2c64c035485906aa,"Feb 05, 1990"
Martin,Buschkamp,,"5' 9""",145 lbs.,--,Orthodox,9,0,0,,http://ufcstats.com/fighter-details/8fc30d8cebb17116,"Jan 06, 1991"
George,Bush,,"6' 1""",205 lbs.,--,,5,2,0,,http://ufcstats.com/fighter-details/f0c779dc2ca3816c,
Bubba,Bush,The Fightin' Texas Aggie,"6' 0""",185 lbs.,--,Orthodox,8,3,0,,http://ufcstats.com/fighter-details/132505067f08c54d,"Jul 24, 1985"
Dakota,Bush,,"5' 10""",155 lbs.,"73.0""",Orthodox,8,4,0,,http://ufcstats.com/fighter-details/3033c1c080672475,"Jun 09, 1994"
Murilo,Bustamante,,"6' 2""",183 lbs.,--,Orthodox,15,8,1,,http://ufcstats.com/fighter-details/85d905f7c4f5a1af,"Jul 30, 1966"
Nick,Bustamante,,"5' 9""",170 lbs.,--,,5,3,0,,http://ufcstats.com/fighter-details/51b1ca2a4b064101,
Eduardo,Bustillos,,"5' 8""",135 lbs.,--,,5,3,0,,http://ufcstats.com/fighter-details/f273f1b8df04c8a1,"Jun 02, 1987"
Jason,Butcher,,"6' 3""",185 lbs.,--,,10,2,0,,http://ufcstats.com/fighter-details/30e39145fec48d25,"Oct 23, 1984"
Todd,Butler,,"6' 1""",200 lbs.,--,Southpaw,1,4,0,,http://ufcstats.com/fighter-details/3fed746acfd026dd,
Goldman,Butler,,--,--,--,,1,4,0,,http://ufcstats.com/fighter-details/e2d5072048b825b1,
Ian,Butler,,"5' 8""",155 lbs.,--,,3,3,0,,http://ufcstats.com/fighter-details/6b8fd98eb52363d1,
Raphael,Butler,The Silencer,"6' 3""",261 lbs.,--,,9,2,1,,http://ufcstats.com/fighter-details/f941505e35fb1eae,"Jan 04, 1984"
Jesse,Butler,,"5' 10""",135 lbs.,"73.0""",Orthodox,12,6,0,,http://ufcstats.com/fighter-details/a75a48bfe776b2c2,"May 24, 1992"
JP,Buys,Young Savage,"5' 5""",135 lbs.,"67.0""",Orthodox,9,6,0,,http://ufcstats.com/fighter-details/0b362247806341e5,"Apr 30, 1996"
Dennis,Buzukja,The Great,"5' 9""",145 lbs.,"70.0""",Switch,12,5,0,,http://ufcstats.com/fighter-details/c4d039123e62f6a9,"Oct 01, 1997"
Charles,Byrd,Kid Dynamite,"5' 10""",185 lbs.,"73.0""",Orthodox,10,7,0,,http://ufcstats.com/fighter-details/76ee3d666c648f6b,"Oct 11, 1983"
Steve,Byrnes,The Sergeant,"6' 0""",170 lbs.,--,Orthodox,6,1,0,,http://ufcstats.com/fighter-details/43612456979e5d5e,
Michael,Byrnes,,"5' 11""",155 lbs.,--,,5,3,0,,http://ufcstats.com/fighter-details/87f0b37f153cf497,"Jul 17, 1990"
Yan,Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,,http://ufcstats.com/fighter-details/7cdd3e5d3aa9cb39,"May 13, 1983"
Alvin,Cacdac,,"5' 6""",125 lbs.,--,Orthodox,18,13,0,,http://ufcstats.com/fighter-details/ce7871949b0ed2bf,
Alex,Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,21,15,0,,http://ufcstats.com/fighter-details/7aa3d6964eff4877,"Jun 20, 1988"
Vince,Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,7,4,0,,http://ufcstats.com/fighter-details/ed2a8cc402173781,"Nov 07, 1989"
Priscila,Cachoeira,Zombie Girl,"5' 7""",135 lbs.,"65.0""",Orthodox,13,6,0,,http://ufcstats.com/fighter-details/b1e5bcaad32a3cac,"Aug 19, 1988"
Travis,Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,5,1,0,,http://ufcstats.com/fighter-details/90d28fee0af74f2d,
Ricky,Calatayud,,"5' 9""",125 lbs.,--,,16,2,0,,http://ufcstats.com/fighter-details/800feaa25700a85f,"Oct 10, 1982"
Carlos,Calderon,Chief,"5' 11""",145 lbs.,"71.0""",Southpaw,6,3,0,,http://ufcstats.com/fighter-details/7d4d7583df7eebf9,"Feb 10, 1996"
Darrion,Caldwell,The Wolf,"5' 10""",135 lbs.,--,,10,1,0,,http://ufcstats.com/fighter-details/b7dc25ee40ee8334,"Dec 19, 1987"
Nicolle,Caliari,,"5' 3""",125 lbs.,"62.0""",Orthodox,8,4,0,,http://ufcstats.com/fighter-details/fc0a4053eb8a3a59,"Nov 04, 1996"
Taylor,Callens,,"5' 10""",155 lbs.,--,,6,0,0,,http://ufcstats.com/fighter-details/53d471e9bf5f2fc8,"May 21, 1991"
Cynthia,Calvillo,,"5' 4""",115 lbs.,"64.0""",Orthodox,9,6,1,,http://ufcstats.com/fighter-details/98215d037be5bcb7,"Jul 13, 1987"
Joe,Camacho,,"5' 9""",155 lbs.,--,Orthodox,13,19,3,,http://ufcstats.com/fighter-details/dfb965c9824425db,"Mar 10, 1972"
Frank,Camacho,The Crank,"5' 10""",155 lbs.,"73.0""",Orthodox,22,10,0,,http://ufcstats.com/fighter-details/764342d39cdaa54a,"May 18, 1989"
Lucas,Camacho,,"6' 4""",265 lbs.,"80.0""",Orthodox,6,1,0,,http://ufcstats.com/fighter-details/71d25689f70e4036,"Dec 15, 1992"
Matheus,Camilo,Jaguar,"5' 10""",155 lbs.,"69.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/72f890c5d421e705,"Jan 02, 2001"
Fabricio,Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,14,9,1,,http://ufcstats.com/fighter-details/7abe471b61725980,"Dec 23, 1978"
Chris,Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,24,13,0,,http://ufcstats.com/fighter-details/6c2030e0a143a94b,"Nov 20, 1986"
Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,,http://ufcstats.com/fighter-details/1999ffb5cebc314f,"Jun 24, 1991"
Ricky,Camp,2 Slick,"5' 7""",135 lbs.,--,,11,4,0,,http://ufcstats.com/fighter-details/4a99978a0366bb29,
Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4,0,,http://ufcstats.com/fighter-details/f5585e675af7afd4,
Thomas,Campbell,,--,--,--,,3,3,0,,http://ufcstats.com/fighter-details/d060014a5a039829,
Shane,Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6,0,,http://ufcstats.com/fighter-details/784285b7ae7dd85f,"Jan 21, 1987"
Charlie,Campbell,The Cannibal,"6' 0""",155 lbs.,"72.0""",Orthodox,9,2,0,,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8,"Jul 03, 1995"
Kitt,Campbell,The Killer,"6' 1""",170 lbs.,"73.0""",,15,7,0,,http://ufcstats.com/fighter-details/903ef36a6adc09a3,"Jun 26, 1994"
John,Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/31bbd46d57dfbcb7,
Wagner,Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10,0,,http://ufcstats.com/fighter-details/db6d5f691aea3fd3,"Jul 31, 1981"
Derek,Campos,The Stallion,"5' 9""",155 lbs.,--,,19,6,0,,http://ufcstats.com/fighter-details/aa8dc72b3a1f761c,"Apr 01, 1988"
Will,Campuzano,,"5' 9""",125 lbs.,"70.0""",Orthodox,14,6,0,,http://ufcstats.com/fighter-details/901cddcbfa079097,"May 27, 1986"
Aleksa,Camur,,"6' 1""",205 lbs.,"74.0""",Orthodox,6,3,0,,http://ufcstats.com/fighter-details/c2a670b22d2e196f,"Sep 25, 1995"
Chico,Camus,The King,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,,http://ufcstats.com/fighter-details/32be4b7f7de1c905,"Jan 26, 1985"
Asbel,Cancio,,"5' 10""",225 lbs.,--,,0,1,0,,http://ufcstats.com/fighter-details/2a7afe14b3a0a058,
Carlos,Candelario,The Cannon,"5' 8""",125 lbs.,"68.0""",Southpaw,8,3,0,,http://ufcstats.com/fighter-details/760a55d5b6098cbe,"Jun 04, 1991"
Ronaldo,Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0,,http://ufcstats.com/fighter-details/23fbe02caabcd214,"Apr 24, 1989"
Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0,,http://ufcstats.com/fighter-details/24b033b3daf1c9df,"Apr 24, 1981"
Guido,Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,10,8,0,,http://ufcstats.com/fighter-details/d05412b513b19621,"Dec 19, 1979"
Jared,Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,18,8,0,,http://ufcstats.com/fighter-details/13a0275fa13c4d26,"Mar 16, 1984"
Jose,Canseco,,"6' 4""",240 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/03da33a102d9a45f,"Jul 02, 1964"
Cody,Canterbury,,"5' 8""",155 lbs.,--,,1,10,0,,http://ufcstats.com/fighter-details/23100e8f71f25a4a,
Bo,Cantrell,Redrum,"6' 2""",235 lbs.,--,Orthodox,10,10,0,,http://ufcstats.com/fighter-details/6750e338922a099d,"Feb 08, 1969"
Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0,,http://ufcstats.com/fighter-details/f1f9e48a0d150757,"Dec 08, 1986"
Paul,Capaldo,,"5' 7""",135 lbs.,--,,6,0,0,,http://ufcstats.com/fighter-details/83b8fe74224dd642,"Dec 27, 1996"
Phil,Caracappa,The Hitman,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0,,http://ufcstats.com/fighter-details/bd81a97864acf098,"Jun 05, 1992"
Frank,Caracci,,--,--,--,,2,3,0,,http://ufcstats.com/fighter-details/44f9c777fed7ca03,
Gina,Carano,Conviction,"5' 8""",145 lbs.,--,Orthodox,7,1,0,,http://ufcstats.com/fighter-details/899eaba48fa864a6,"Apr 16, 1982"
Dos,Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,9,5,0,,http://ufcstats.com/fighter-details/155a02a8b4311057,"May 25, 1977"
Bryan,Caraway,Kid Lightning,"5' 8""",135 lbs.,"68.0""",Orthodox,21,9,0,,http://ufcstats.com/fighter-details/5ef0088c1b19beeb,"Aug 04, 1984"
Remo,Cardarelli,,--,135 lbs.,--,,7,5,0,,http://ufcstats.com/fighter-details/e5512a6aed150d8f,
Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0,,http://ufcstats.com/fighter-details/f6a7b02c42e9fc5b,"Jul 09, 1976"
Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4,1,0,,http://ufcstats.com/fighter-details/99a86b134dccc166,
Chris,Cariaso,Kamikaze,"5' 3""",125 lbs.,"64.0""",Southpaw,17,8,0,,http://ufcstats.com/fighter-details/b2e3aca4cd363477,"May 27, 1981"
Ronald,Carillo,,--,125 lbs.,--,,4,2,0,,http://ufcstats.com/fighter-details/cbd022eaf2ac546a,
Rafael,Carino,,"6' 8""",245 lbs.,--,Orthodox,2,1,1,,http://ufcstats.com/fighter-details/08a7080ff5904661,
Don,Carlo-Clauss,,--,170 lbs.,--,,10,7,0,,http://ufcstats.com/fighter-details/f59a6de8a5dfe297,
Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,5,0,,http://ufcstats.com/fighter-details/52e76bb4b3e852f3,"Mar 16, 1990"
Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0,,http://ufcstats.com/fighter-details/be68b375707dcb85,"May 06, 1993"
Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0,,http://ufcstats.com/fighter-details/3591d0d5d382a381,"Oct 11, 1981"
Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0,,http://ufcstats.com/fighter-details/51a0c09cbe9b8472,"Feb 19, 1984"
Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0,,http://ufcstats.com/fighter-details/1c86754617d9813a,"Jun 02, 1978"
Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,15,3,0,,http://ufcstats.com/fighter-details/c0d5c0c95c59050b,"Nov 17, 1992"
Luana,Carolina,Dread,"5' 6""",125 lbs.,"69.0""",Orthodox,11,4,0,,http://ufcstats.com/fighter-details/528b071cf3da7c56,"Jun 11, 1993"
Tim,Caron,The Bear,"6' 1""",185 lbs.,--,Orthodox,7,1,0,,http://ufcstats.com/fighter-details/b80ea4880f25c187,"Jul 24, 1987"
Clayton,Carpenter,,"5' 6""",125 lbs.,"66.0""",Orthodox,8,1,0,,http://ufcstats.com/fighter-details/b62d5280966b2460,"Jun 09, 1996"
Gabriel,Carrasco,,"5' 6""",135 lbs.,--,,7,0,0,,http://ufcstats.com/fighter-details/89ed44801968b8e3,
Cody,Carrillo,,"5' 10""",155 lbs.,--,,11,16,0,,http://ufcstats.com/fighter-details/9346efb4bbaedd08,
Cain,Carrizosa,The Insane,"5' 8""",155 lbs.,--,Orthodox,10,3,0,,http://ufcstats.com/fighter-details/064b7dc68d786254,"Jul 22, 1986"
Roger,Carroll,The Leprechaun,"5' 10""",170 lbs.,--,,16,14,0,,http://ufcstats.com/fighter-details/572a89dbe1f76761,
Jonny,Carson,,"5' 10""",155 lbs.,--,,11,7,0,,http://ufcstats.com/fighter-details/0d49ddc07bd8c747,
Scott,Carson,,"6' 2""",215 lbs.,--,,4,2,0,,http://ufcstats.com/fighter-details/1e3302f9ab6f549a,
Shonie,Carter,Mr. International,"5' 10""",170 lbs.,--,Southpaw,51,31,7,,http://ufcstats.com/fighter-details/7b6e40a73b567072,"May 03, 1972"
Jack,Cartwright,,"5' 9""",135 lbs.,"68.0""",Orthodox,10,1,0,,http://ufcstats.com/fighter-details/1f592bfefb0d62a3,"May 26, 1994"
Bruno,Carvalho,,"5' 8""",154 lbs.,--,,10,5,0,,http://ufcstats.com/fighter-details/456c02115efc4a01,"Jun 07, 1982"
Antonio,Carvalho,Pato,"5' 9""",145 lbs.,"70.0""",Orthodox,15,6,0,,http://ufcstats.com/fighter-details/fef3d17e27e916e7,"May 30, 1979"
Rafael,Carvalho,,"6' 3""",185 lbs.,--,,14,1,0,,http://ufcstats.com/fighter-details/620d8710e89cfeae,"Jul 27, 1986"
Shane,Carwin,The Engineer,"6' 2""",265 lbs.,"80.0""",Orthodox,12,2,0,,http://ufcstats.com/fighter-details/68dd7b3783c19f9c,"Jan 04, 1975"
Johnny,Case,Hollywood,"5' 10""",155 lbs.,"72.0""",Orthodox,22,6,0,,http://ufcstats.com/fighter-details/1f4b04a926ef1287,"Jun 28, 1989"
Kevin,Casey,King,"5' 11""",185 lbs.,"77.0""",Southpaw,9,5,2,,http://ufcstats.com/fighter-details/8d9586726252dbf7,"Jun 15, 1981"
Cortney,Casey,Cast Iron,"5' 7""",125 lbs.,"67.0""",Orthodox,10,10,0,,http://ufcstats.com/fighter-details/5f179af5fffeb9f6,"May 05, 1987"
